sgpa,attendance_rate,quiz_avg,assignment_rate,login_frequency,consecutive_absences,mood_score,late_submission_rate,help_seeking_ratio,peer_interaction_score,material_access_rate,attendance_trend,quiz_score_trend,login_frequency_trend,submission_time_ratio,sgpa_delta,risk_velocity,weekly_checkin_streak,attendance_quiz_combined,sgpa_absence_combined,submission_mood_combined,department,faculty,level,semester,status
1.45,0.273,0.495,0.164,0.464,1,0.0,0.303,0.001,0.0,0.226,-0.22,-0.105,-0.249,0.208,-0.27,-0.0176,0.009,0.028,0.114,0.0,Computer Engineering,FNAS,400,2,NGS
3.48,0.967,0.953,0.986,1.0,0,0.616,0.17,0.883,0.368,0.767,0.162,0.179,0.049,0.838,0.21,-0.0472,0.499,0.905,0.0,0.524,Doctor of Physiotherapy,FBMS,300,1,GS
2.92,0.411,0.508,0.485,0.467,1,0.656,0.16,0.05,0.401,0.835,-0.213,-0.106,0.367,0.392,0.15,-0.0925,0.441,0.219,0.071,0.667,Industrial Chemistry,FNAS,300,2,GS
1.86,0.358,0.507,0.629,0.387,1,0.557,0.216,0.351,0.176,0.389,-0.239,0.178,-0.051,0.376,-0.18,0.0879,0.497,0.02,0.1,0.484,Biochemistry,FNAS,300,1,GS
3.53,0.875,0.916,0.948,0.872,0,0.496,0.03,0.0,0.869,0.316,0.174,0.04,0.34,0.884,0.19,0.0073,0.398,0.904,0.0,0.381,Accounting,FAMSS,300,2,GS
1.52,0.653,0.41,0.537,0.548,0,0.331,0.344,0.464,0.571,0.609,-0.002,-0.103,0.018,0.356,-0.25,0.0424,0.581,0.268,0.0,0.194,History and International Relations,FAMSS,200,1,NGS
2.35,0.853,0.757,1.0,0.737,0,0.528,0.163,0.541,0.621,0.714,0.118,0.128,-0.212,0.8,0.19,0.021,0.38,0.502,0.0,0.495,Architecture,FES,100,2,GS
3.0,0.562,0.553,0.553,0.437,0,1.0,0.04,0.312,0.0,0.574,0.224,-0.124,0.067,0.593,0.33,-0.0338,0.519,0.28,0.0,0.864,Computer Engineering,FNAS,200,1,GS
2.22,0.545,0.443,0.601,0.544,2,0.625,0.205,0.769,0.386,0.659,-0.014,0.049,0.038,0.351,0.49,-0.0432,0.598,0.479,0.095,0.35,Software Engineering,FNAS,200,1,GS
3.39,1.0,0.986,0.941,0.44,0,0.747,0.082,0.662,0.329,0.649,0.252,-0.049,0.412,0.698,0.02,-0.0157,0.692,0.996,0.0,0.838,History and International Relations,FAMSS,100,1,GS
2.48,0.037,0.166,0.358,0.115,6,0.286,0.298,0.609,0.769,0.107,-0.088,0.099,0.338,0.0,-0.15,0.1278,0.0,0.0,0.247,0.379,Computer Engineering,FNAS,300,1,GS
2.72,0.406,0.499,0.45,0.372,1,0.522,0.279,0.47,0.518,0.424,0.085,0.225,0.15,0.6,0.38,0.009,0.488,0.064,0.0,0.314,Computer Science,FNAS,200,2,GS
2.93,0.266,0.275,0.303,0.041,3,0.766,0.51,0.582,0.215,0.896,0.135,0.11,-0.094,0.437,-0.08,-0.0363,0.19,0.077,0.0,0.339,Computer Science,FNAS,100,1,GS
1.81,0.17,0.122,0.451,0.402,2,0.49,0.487,0.201,0.0,0.0,0.019,0.014,-0.231,0.0,-0.34,0.0263,0.383,0.171,0.102,0.249,Nursing,FBMS,100,1,NGS
2.94,0.745,0.348,0.471,0.524,1,0.727,0.259,0.412,0.356,0.389,0.252,0.205,0.187,0.431,0.02,-0.0522,0.301,0.244,0.036,0.536,Architecture,FES,100,2,GS
2.92,1.0,1.0,1.0,1.0,0,0.364,0.051,0.224,0.27,0.303,0.027,0.047,0.25,1.0,0.17,-0.0765,0.696,1.0,0.029,0.463,Physics and Electronics,FNAS,300,1,GS
1.91,0.421,0.208,0.512,0.475,0,0.463,0.144,0.217,0.425,0.618,0.09,0.134,-0.014,0.442,0.13,-0.0651,0.228,0.17,0.0,0.083,Quantity Surveying,FES,400,1,GS
2.22,0.697,0.49,0.665,0.805,1,0.63,0.219,0.631,0.165,0.353,0.194,-0.074,0.036,0.426,-0.29,-0.0897,0.572,0.227,0.052,0.44,History and International Relations,FAMSS,100,1,GS
3.01,0.543,0.603,0.522,0.547,2,0.439,0.018,0.566,0.634,0.395,0.037,0.096,-0.039,0.521,-0.27,-0.0125,0.245,0.294,0.114,0.431,Industrial Chemistry,FNAS,100,1,GS
2.47,1.0,0.809,0.901,0.675,0,0.547,0.183,0.37,0.821,0.473,0.058,0.129,0.128,1.0,0.34,-0.1271,0.695,0.923,0.083,0.262,Estate Management,FES,200,1,GS
2.53,1.0,0.762,1.0,0.957,0,0.675,0.343,0.469,0.616,0.564,0.271,-0.071,-0.084,0.831,0.03,-0.0236,0.0,0.71,0.0,0.568,Industrial Chemistry,FNAS,100,2,GS
2.59,0.363,0.0,0.296,0.27,4,0.231,0.448,0.315,0.487,0.549,-0.067,0.009,-0.079,0.167,0.07,0.0182,0.106,0.0,0.066,0.134,Economics,FAMSS,100,2,GS
3.12,0.758,0.77,0.859,0.604,0,0.704,0.482,1.0,0.287,0.693,-0.075,-0.303,0.005,0.62,-0.08,-0.0658,0.318,0.518,0.066,0.525,Nursing,FBMS,400,2,GS
3.29,0.833,0.725,0.797,1.0,2,0.743,0.158,0.241,0.555,0.601,0.055,-0.148,-0.148,0.914,-0.24,-0.0028,0.293,0.467,0.029,0.621,Industrial Chemistry,FNAS,400,2,GS
2.88,0.842,1.0,1.0,0.901,0,0.534,0.351,0.514,0.728,0.435,-0.086,0.318,0.211,0.927,0.35,-0.057,0.098,0.791,0.0,0.325,Accounting,FAMSS,300,1,GS
3.44,0.734,0.681,0.717,0.836,0,0.735,0.271,0.284,0.488,0.769,0.316,-0.183,-0.053,0.569,0.36,0.0719,0.0,0.518,0.0,0.626,History and International Relations,FAMSS,200,1,GS
3.68,0.0,0.092,0.35,0.003,2,0.598,0.065,0.545,0.46,0.351,0.145,-0.076,0.081,0.0,-0.42,0.0511,0.404,0.134,0.0,0.606,Biochemistry,FNAS,200,1,GS
2.4,0.638,0.511,0.615,0.34,1,0.345,0.043,0.391,0.114,0.258,0.242,0.005,0.024,0.626,0.02,0.029,0.436,0.325,0.076,0.0,Computer Science,FNAS,100,1,GS
2.18,0.611,0.599,0.678,0.235,2,0.783,0.459,0.601,0.31,0.662,0.236,0.159,0.074,0.436,0.06,0.0235,0.511,0.254,0.189,0.113,Information Technology,FNAS,100,2,GS
1.68,0.42,0.003,0.469,0.428,3,0.19,0.539,0.356,0.502,0.047,0.157,-0.409,-0.009,0.329,0.31,0.0535,0.074,0.06,0.225,0.124,Business Administration,FAMSS,200,2,NGS
3.21,0.74,0.849,0.599,0.408,2,0.493,0.049,0.62,0.081,0.422,-0.094,0.0,-0.147,0.555,-0.05,0.0066,0.393,0.713,0.0,0.372,Quantity Surveying,FES,100,2,GS
3.01,0.499,0.5,0.551,0.491,2,0.342,0.03,0.267,0.561,0.215,-0.211,-0.033,-0.109,0.535,-0.6,0.0354,0.163,0.317,0.0,0.315,Criminology and Security Studies,FAMSS,400,2,NGS
3.32,0.567,0.439,0.631,0.378,1,0.884,0.0,0.409,0.548,0.687,-0.1,0.233,0.151,0.749,0.25,-0.0673,0.443,0.112,0.004,1.0,Information Technology,FNAS,400,1,GS
2.68,0.531,0.574,0.465,0.377,2,0.33,0.338,0.28,0.47,0.75,-0.002,-0.041,0.278,0.535,-0.25,0.059,0.603,0.085,0.035,0.285,Quantity Surveying,FES,100,1,GS
3.03,0.858,0.792,0.902,0.778,1,1.0,0.093,0.305,0.557,0.749,-0.161,0.163,0.109,0.551,0.42,-0.127,0.422,0.684,0.0,1.0,Software Engineering,FNAS,300,1,GS
3.04,0.724,0.603,0.732,0.712,0,0.509,0.415,0.0,0.067,1.0,0.03,0.219,-0.156,0.617,0.14,-0.0472,0.224,0.491,0.016,0.62,Public Health,FBMS,400,2,GS
3.08,0.698,0.856,0.905,0.691,0,0.587,0.03,0.316,0.387,0.379,0.074,0.351,0.018,0.689,0.29,-0.0489,0.478,0.562,0.0,0.442,Architecture,FES,100,2,GS
3.28,0.92,0.772,0.843,0.63,2,0.297,0.0,0.162,0.214,0.406,-0.111,0.135,-0.086,0.673,0.31,-0.0132,0.288,0.783,0.085,0.274,History and International Relations,FAMSS,100,1,GS
2.45,0.702,0.534,0.517,0.555,0,0.447,0.15,0.595,0.66,0.789,0.312,0.16,0.027,0.385,0.45,-0.0474,0.343,0.487,0.032,0.467,Economics,FAMSS,100,1,GS
2.59,0.45,0.354,0.599,0.526,1,0.444,0.478,0.196,0.093,0.138,0.043,0.195,-0.095,0.405,0.18,0.0007,0.363,0.13,0.008,0.208,Industrial Chemistry,FNAS,200,2,GS
2.41,0.919,0.612,0.833,1.0,0,0.538,0.306,0.513,0.463,0.209,0.224,0.376,0.182,0.639,-0.01,0.0586,0.763,0.656,0.084,0.213,Industrial Chemistry,FNAS,100,2,GS
1.88,0.11,0.389,0.585,0.0,4,0.334,0.599,0.087,0.552,0.133,-0.121,-0.141,-0.107,0.07,-0.17,0.0235,0.22,0.088,0.224,0.079,Health Information Management,FBMS,100,2,NGS
2.14,0.57,0.556,0.583,0.284,1,0.296,0.193,0.427,0.154,0.581,-0.263,0.457,0.256,0.438,-0.27,0.0083,0.638,0.335,0.159,0.287,Mathematics,FNAS,100,1,GS
3.28,0.776,0.591,0.664,0.39,0,0.571,0.168,0.401,0.686,0.544,0.139,0.007,0.021,0.598,0.21,0.0687,0.589,0.45,0.0,0.318,History and International Relations,FAMSS,100,2,GS
2.96,0.976,0.663,0.851,0.606,0,0.505,0.144,0.855,0.295,0.842,-0.026,-0.179,-0.064,0.438,0.41,-0.0654,0.088,0.831,0.0,0.21,Information Technology,FNAS,100,2,GS
2.47,0.476,0.735,0.769,0.644,0,0.618,0.088,0.358,0.24,0.431,0.063,0.017,-0.051,0.562,-0.12,-0.0086,0.201,0.212,0.0,0.408,Computer Engineering,FNAS,500,1,GS
2.38,0.602,0.252,0.48,0.477,1,0.0,0.274,0.0,0.226,0.173,-0.069,0.228,-0.094,0.454,0.06,0.0653,0.448,0.145,0.087,0.0,Accounting,FAMSS,200,2,NGS
2.59,0.844,0.681,0.621,0.556,0,0.637,0.285,0.254,0.221,0.308,-0.234,0.031,-0.057,0.717,0.04,-0.0217,0.682,0.544,0.0,0.512,Accounting,FAMSS,100,2,GS
2.94,0.373,0.505,0.221,0.214,0,0.347,0.409,0.302,0.013,0.445,-0.041,0.19,-0.246,0.281,0.06,0.0629,0.488,0.054,0.041,0.11,Accounting,FAMSS,100,2,GS
2.24,0.447,0.823,0.695,0.403,2,0.446,0.343,0.406,0.174,0.361,0.338,-0.064,-0.003,0.275,-0.24,-0.0238,0.723,0.4,0.121,0.192,Information Technology,FNAS,100,2,GS
3.24,0.691,0.712,0.506,0.714,0,0.411,0.0,0.535,0.631,0.908,0.144,-0.102,-0.023,0.518,0.29,-0.0555,0.43,0.453,0.05,0.487,Public Health,FBMS,100,1,GS
3.56,0.888,0.43,0.741,0.863,1,0.689,0.003,0.644,0.497,0.734,-0.076,0.104,0.161,0.43,-0.36,-0.0319,0.298,0.541,0.056,0.589,Estate Management,FES,100,1,GS
2.69,0.853,0.63,0.753,0.721,0,0.387,0.132,0.241,0.328,0.407,0.088,-0.037,0.11,0.857,-0.05,-0.0894,0.205,0.543,0.115,0.445,Physics and Electronics,FNAS,200,1,GS
1.89,0.627,0.445,0.508,0.415,0,0.5,0.361,0.473,0.221,0.218,0.108,0.028,0.005,0.415,-0.46,0.0651,0.0,0.274,0.0,0.223,Mathematics,FNAS,100,1,NGS
2.76,1.0,0.726,0.771,0.801,0,0.96,0.045,0.791,0.912,0.509,-0.01,-0.11,-0.006,0.717,-0.39,-0.1026,0.585,0.694,0.0,0.894,Computer Science,FNAS,100,2,GS
2.49,0.661,0.662,0.485,0.625,3,0.68,0.291,0.265,0.519,0.723,0.149,0.209,0.062,0.529,0.6,0.0381,0.307,0.421,0.171,0.448,Information Technology,FNAS,100,1,GS
3.65,0.658,0.715,0.819,0.678,1,0.585,0.052,0.166,0.663,0.377,0.015,-0.009,0.166,0.549,0.21,-0.0624,0.549,0.311,0.0,0.259,Cybersecurity,FNAS,100,2,GS
3.36,0.674,0.865,0.728,0.764,0,0.718,0.256,0.155,0.806,0.64,-0.292,-0.096,0.105,0.624,0.45,-0.0297,0.364,0.565,0.0,0.343,Quantity Surveying,FES,100,2,GS
2.17,0.632,0.32,0.686,0.543,0,0.532,0.565,0.109,0.146,0.0,0.049,-0.141,-0.18,0.31,-0.23,0.1143,0.0,0.142,0.0,0.328,Information Technology,FNAS,200,1,NGS
2.87,0.696,0.518,0.506,0.633,0,0.402,0.038,0.329,0.363,0.567,-0.207,-0.085,0.039,1.0,-0.2,-0.0866,0.405,0.361,0.0,0.382,Quantity Surveying,FES,200,1,GS
2.14,0.932,0.651,0.958,0.954,0,0.816,0.287,0.941,0.48,0.398,0.245,0.253,0.01,0.798,0.37,-0.0472,0.591,0.645,0.028,0.376,Business Administration,FAMSS,200,1,GS
2.67,1.0,0.997,0.989,1.0,0,0.749,0.086,0.095,0.254,0.542,-0.136,0.081,0.103,0.789,0.25,0.0767,0.448,1.0,0.053,0.871,Computer Science,FNAS,300,1,GS
3.22,0.586,0.559,0.714,0.442,2,0.528,0.369,0.18,0.504,0.538,0.061,-0.044,0.058,0.665,0.23,-0.062,0.343,0.245,0.037,0.136,Economics,FAMSS,300,2,GS
2.08,0.631,1.0,0.9,0.929,1,0.75,0.298,0.039,0.619,0.929,-0.029,0.102,0.026,0.982,-0.29,-0.0544,0.162,0.677,0.0,0.556,Health Information Management,FBMS,200,2,GS
3.09,0.494,0.755,0.734,0.418,0,0.76,0.163,0.164,0.69,0.571,0.242,-0.158,-0.063,0.584,0.02,0.0492,0.974,0.541,0.0,0.741,Computer Engineering,FNAS,200,2,GS
2.34,0.672,0.699,0.585,0.603,0,0.936,0.037,0.862,0.108,0.541,-0.049,0.025,0.13,0.47,0.15,0.0297,0.383,0.497,0.003,0.994,Computer Science,FNAS,300,1,GS
2.59,0.578,0.62,0.538,0.692,1,0.552,0.21,0.485,0.648,0.555,0.064,0.081,0.031,0.696,-0.19,0.0387,0.565,0.342,0.049,0.233,Business Administration,FAMSS,100,1,GS
2.02,0.679,0.813,0.987,0.763,1,0.141,0.259,0.718,0.0,0.378,0.057,-0.114,0.351,0.682,0.06,-0.036,0.443,0.536,0.055,0.174,Computer Science,FNAS,200,2,GS
3.86,0.492,0.701,0.623,0.69,1,0.77,0.0,0.368,0.357,0.437,0.127,-0.082,0.126,0.494,0.26,-0.0496,0.55,0.417,0.012,0.655,Computer Engineering,FNAS,100,1,GS
1.92,0.281,0.266,0.383,0.301,2,0.612,0.03,0.125,0.351,0.073,-0.027,-0.163,-0.052,0.1,-0.19,0.0128,0.288,0.024,0.099,0.608,Economics,FAMSS,100,2,NGS
2.98,0.625,0.347,0.767,0.599,0,0.003,0.328,0.359,0.414,0.369,0.114,0.098,-0.168,0.294,-0.05,-0.0068,0.393,0.226,0.013,0.211,Business Administration,FAMSS,300,2,GS
2.81,0.627,0.599,0.767,0.429,0,0.506,0.289,0.379,0.069,0.693,-0.112,-0.141,-0.28,0.785,0.07,-0.0615,0.0,0.298,0.081,0.43,Accounting,FAMSS,200,2,GS
2.33,0.497,0.593,0.571,0.527,0,0.676,0.209,0.542,0.177,0.77,0.119,0.239,0.12,0.089,-0.08,-0.0466,0.261,0.273,0.019,0.534,Business Administration,FAMSS,100,1,GS
1.78,0.351,0.43,0.392,0.295,3,0.925,0.622,0.281,0.315,0.651,0.064,-0.314,-0.008,0.443,-0.02,-0.0565,0.433,0.0,0.198,0.452,English and Communication,FAMSS,300,2,GS
2.3,0.273,0.109,0.162,0.152,2,0.074,0.331,0.378,0.464,0.47,-0.065,-0.065,-0.121,0.615,0.12,-0.0155,0.0,0.0,0.115,0.0,Industrial Chemistry,FNAS,100,1,GS
2.06,0.763,0.394,0.933,0.437,1,0.764,0.445,0.728,0.661,0.551,0.142,0.362,0.13,0.422,0.72,-0.0151,0.441,0.298,0.041,0.415,Business Administration,FAMSS,300,2,GS
2.69,0.564,0.312,0.821,0.577,1,0.428,0.294,0.0,0.559,0.394,-0.059,-0.143,-0.178,0.476,0.08,0.0535,0.279,0.122,0.0,0.272,Accounting,FAMSS,300,2,GS
2.65,0.806,0.688,0.762,0.94,0,0.53,0.359,0.372,0.688,0.553,0.334,0.283,-0.047,0.546,-0.1,-0.0148,0.626,0.723,0.0,0.18,Doctor of Physiotherapy,FBMS,200,2,GS
1.81,0.5,0.367,0.5,0.093,0,0.221,0.447,0.082,0.19,0.22,0.101,-0.339,-0.231,0.336,-0.24,0.0418,0.245,0.284,0.022,0.305,English and Communication,FAMSS,200,2,NGS
3.16,0.909,0.846,0.744,0.601,1,0.845,0.391,0.694,0.619,0.627,0.072,0.044,0.109,1.0,-0.34,-0.1005,0.415,0.817,0.041,0.571,Quantity Surveying,FES,100,1,GS
3.91,0.894,0.653,0.833,0.404,0,0.622,0.376,0.236,0.365,1.0,0.047,0.103,-0.005,0.825,-0.45,-0.0687,0.75,0.579,0.0,0.437,Biochemistry,FNAS,200,2,GS
2.22,0.627,0.671,0.562,0.636,1,0.586,0.406,0.0,0.488,0.46,0.278,0.09,0.193,0.52,0.37,0.001,0.3,0.417,0.054,0.303,Public Health,FBMS,200,1,GS
4.33,0.78,0.929,0.984,0.969,0,0.365,0.03,0.505,0.388,0.883,-0.007,0.069,0.199,1.0,-0.08,0.0388,0.432,0.643,0.032,0.215,Physics and Electronics,FNAS,200,2,GS
2.55,0.559,0.681,0.512,0.791,1,0.67,0.263,0.771,0.762,1.0,0.095,0.107,0.066,0.919,0.24,0.13,0.319,0.312,0.058,0.525,Health Information Management,FBMS,100,2,GS
2.62,0.16,0.245,0.189,0.065,5,0.622,0.515,0.367,0.186,0.548,0.064,0.001,0.046,0.211,-0.23,0.0095,0.0,0.0,0.228,0.352,Computer Engineering,FNAS,200,1,GS
1.76,0.257,0.215,0.228,0.236,2,0.416,0.684,0.0,0.0,0.0,-0.043,-0.059,-0.081,0.375,-0.26,0.0773,0.319,0.0,0.153,0.172,Computer Engineering,FNAS,100,2,NGS
2.75,0.774,0.939,0.929,0.878,0,0.497,0.308,0.492,0.814,0.547,-0.192,0.178,0.171,0.934,0.14,-0.0928,0.446,0.601,0.045,0.435,Health Information Management,FBMS,400,2,GS
2.17,0.593,0.349,0.529,0.073,1,0.269,0.505,0.035,0.0,0.334,-0.063,-0.089,-0.143,0.497,-0.55,0.0122,0.005,0.189,0.02,0.0,Cybersecurity,FNAS,300,1,NGS
2.11,0.652,0.409,0.558,0.228,0,0.481,0.03,0.384,0.574,0.55,-0.029,0.135,-0.231,0.648,0.33,0.0408,0.262,0.277,0.0,0.498,Physics and Electronics,FNAS,300,2,GS
1.61,0.475,0.431,0.343,0.341,1,0.592,0.012,0.5,0.561,0.278,0.032,0.153,-0.122,0.221,0.48,0.0379,0.12,0.333,0.138,0.378,Architecture,FES,100,1,GS
2.88,0.485,0.235,0.235,0.48,1,0.875,0.389,0.43,0.425,0.563,0.019,0.209,0.319,0.757,-0.2,-0.0244,0.695,0.164,0.023,0.702,Information Technology,FNAS,200,1,GS
2.04,0.732,0.622,0.49,0.429,0,0.566,0.157,0.62,0.635,0.323,0.19,0.124,0.035,0.563,0.14,0.0258,0.735,0.473,0.076,0.525,Mathematics,FNAS,100,1,GS
3.21,0.572,0.795,0.737,0.742,3,0.86,0.359,0.0,0.35,0.388,0.234,-0.049,0.006,0.675,-0.03,-0.0368,0.07,0.399,0.042,0.553,Business Administration,FAMSS,100,1,GS
2.25,0.867,0.487,0.665,0.422,2,0.637,0.044,0.4,0.304,0.556,0.367,0.172,0.207,0.429,0.59,-0.0383,0.477,0.294,0.072,0.597,Doctor of Physiotherapy,FBMS,100,1,GS
2.92,0.763,0.762,0.685,0.639,3,0.678,0.0,0.154,0.041,0.548,0.033,0.184,0.081,0.784,0.09,-0.046,0.374,0.607,0.117,0.887,Estate Management,FES,100,1,GS
3.03,0.83,0.564,0.839,0.611,0,0.645,0.426,0.048,0.211,0.615,0.253,-0.065,0.103,0.816,0.36,0.0534,1.0,0.433,0.026,0.347,Information Technology,FNAS,200,2,GS
3.03,0.824,0.837,0.92,0.762,0,0.446,0.03,0.393,0.255,0.523,-0.232,0.239,0.137,0.702,0.09,-0.1017,0.061,0.672,0.082,0.355,Computer Science,FNAS,100,2,GS
2.12,0.662,0.639,0.592,0.545,1,0.503,0.137,0.539,0.132,0.768,-0.115,0.322,-0.119,0.815,-0.04,-0.0635,0.0,0.387,0.091,0.419,History and International Relations,FAMSS,100,1,GS
2.27,0.441,0.311,0.592,0.176,2,0.904,0.09,0.29,0.185,0.657,-0.023,0.037,-0.186,0.142,-0.35,0.0281,0.475,0.158,0.032,0.503,Health Information Management,FBMS,200,1,GS
