matric,department,level,semester,sgpa,tup,tuf,status,risk_probability,risk_tier
22/CSC/005,Computer Science,400,2,3.6666666666666665,18,2,GS,0.015188549,Low
22/CSC/006,Computer Science,400,2,3.55,20,0,GS,0.0033636873,Low
22/CSC/008,Computer Science,400,2,4.705882352941177,17,3,GS,0.007138428,Low
24/SEN/001,Software Engineering,100,1,3.954545454545455,22,0,GS,0.00052744173,Low
24/SEN/003,Software Engineering,100,1,4.409090909090909,22,0,GS,0.00052744173,Low
24/SEN/004,Software Engineering,100,1,1.9090909090909087,19,3,GS,0.27188107,Low
24/SEN/005,Software Engineering,100,1,2.590909090909091,18,4,GS,0.0007510279,Low
24/SEN/006,Software Engineering,100,1,2.4545454545454546,16,6,GS,0.00152083,Low
24/SEN/007,Software Engineering,100,1,3.5,22,0,GS,0.00052744173,Low
24/SEN/008,Software Engineering,100,1,4.636363636363637,22,0,GS,0.00052744173,Low
24/SEN/009,Software Engineering,100,1,4.636363636363637,22,0,GS,0.00052744173,Low
24/SEN/010,Software Engineering,100,1,4.7727272727272725,22,0,GS,0.00052744173,Low
24/SEN/011,Software Engineering,100,1,4.590909090909091,22,0,GS,0.00052744173,Low
24/SEN/012,Software Engineering,100,1,4.681818181818182,22,0,GS,0.00052744173,Low
24/SEN/013,Software Engineering,100,1,2.5,17,5,GS,0.0014514205,Low
24/PRE-D/SEN/015,Software Engineering,100,1,4.681818181818182,22,0,GS,0.00052744173,Low
23/SEN/001,Software Engineering,200,2,4.5625,16,0,GS,0.009481852,Low
24/SEN/002,Software Engineering,200,2,3.523809523809524,21,0,GS,0.006179241,Low
24/SEN/001,Software Engineering,100,2,4.333333333333333,15,0,GS,0.022826873,Low
24/SEN/003,Software Engineering,100,2,4.266666666666667,15,0,GS,0.022826873,Low
24/SEN/004,Software Engineering,100,2,2.7333333333333334,13,2,GS,0.046821587,Low
24/SEN/005,Software Engineering,100,2,1.9333333333333331,15,0,NGS,0.9737012,High
24/SEN/006,Software Engineering,100,2,2.8666666666666667,13,2,GS,0.046821587,Low
24/SEN/007,Software Engineering,100,2,2.8,15,0,GS,0.022826873,Low
24/SEN/008,Software Engineering,100,2,1.3333333333333333,4,11,NGS,0.9991684,High
24/SEN/009,Software Engineering,100,2,4.0,15,0,GS,0.022826873,Low
24/SEN/010,Software Engineering,100,2,4.466666666666667,15,0,GS,0.022826873,Low
24/SEN/011,Software Engineering,100,2,4.066666666666666,15,0,GS,0.022826873,Low
24/SEN/012,Software Engineering,100,2,4.866666666666666,15,0,GS,0.022826873,Low
24/SEN/013,Software Engineering,100,2,3.6666666666666665,15,0,GS,0.022826873,Low
24/PRE-D/SEN/015,Software Engineering,100,2,4.533333333333333,15,0,GS,0.022826873,Low
23/CYB/001,Cybersecurity,200,2,4.5,16,0,GS,0.0058391164,Low
23/CYB/002,Cybersecurity,200,2,3.625,16,0,GS,0.0058391164,Low
23/CYB/003,Cybersecurity,200,2,0.8125,9,7,NGS,0.9983183,High
23/CYB/004,Cybersecurity,200,2,4.125,16,0,GS,0.0058391164,Low
24/CYB/007,Cybersecurity,200,2,2.625,15,1,GS,0.062328417,Low
21/SEN/001,Software Engineering,400,1,4.066666666666666,15,0,GS,0.003856219,Low
22/SEN/003,Software Engineering,400,1,4.866666666666666,15,0,GS,0.003856219,Low
21/SEN/001,Software Engineering,400,2,4.0,19,1,GS,0.046215415,Low
22/SEN/003,Software Engineering,400,2,5.0,20,0,GS,0.006890388,Low
24/CYB/001,Cybersecurity,100,2,4.631578947368421,19,0,GS,0.0041245893,Low
24/CYB/002,Cybersecurity,100,2,4.2631578947368425,19,0,GS,0.0041245893,Low
24/CYB/004,Cybersecurity,100,2,3.3684210526315788,17,2,GS,0.04398414,Low
24/CYB/005,Cybersecurity,100,2,3.263157894736842,19,0,GS,0.0041245893,Low
24/CYB/006,Cybersecurity,100,2,4.526315789473684,19,0,GS,0.0041245893,Low
24/CYB/008,Cybersecurity,100,2,3.789473684210526,19,0,GS,0.0041245893,Low
24/CYB/009,Cybersecurity,100,2,3.736842105263158,19,0,GS,0.0041245893,Low
24/CYB/010,Cybersecurity,100,2,3.473684210526316,17,2,GS,0.04398414,Low
24/CYB/011,Cybersecurity,100,2,3.736842105263158,19,0,GS,0.0041245893,Low
24/CYB/012,Cybersecurity,100,2,4.421052631578948,19,0,GS,0.0041245893,Low
24/CYB/013,Cybersecurity,100,2,1.4210526315789471,13,6,GS,0.96865785,High
24/CYB/014,Cybersecurity,100,2,4.105263157894737,19,0,GS,0.0041245893,Low
24/CYB/015,Cybersecurity,100,2,4.7368421052631575,19,0,GS,0.0041245893,Low
24/CYB/016,Cybersecurity,100,2,2.8421052631578947,19,0,GS,0.0041245893,Low
24/PRE-D/CYB/017,Cybersecurity,100,2,4.0,19,0,GS,0.0041245893,Low
24/PRE-D/CYB/018,Cybersecurity,100,2,3.0526315789473686,19,0,GS,0.0041245893,Low
24/CPE/001,Computer Engineering,100,1,2.590909090909091,22,0,GS,0.00034052916,Low
24/CPE/002,Computer Engineering,100,1,2.227272727272727,21,1,GS,0.0011780531,Low
24/CPE/003,Computer Engineering,100,1,4.863636363636363,22,0,GS,0.00034052916,Low
24/CSC/001,Computer Science,100,1,1.1904761904761905,12,9,NGS,0.9983802,High
24/CSC/004,Computer Science,100,1,3.238095238095238,20,1,GS,0.0011780531,Low
24/CSC/005,Computer Science,100,1,1.1904761904761905,9,12,NGS,0.98147744,High
24/CSC/006,Computer Science,100,1,4.523809523809524,20,1,GS,0.0011780531,Low
24/CSC/007,Computer Science,100,1,2.380952380952381,15,6,GS,0.001065017,Low
24/CSC/008,Computer Science,100,1,3.1904761904761907,20,1,GS,0.0011780531,Low
24/CSC/009,Computer Science,100,1,4.285714285714286,20,1,GS,0.0011780531,Low
24/CSC/010,Computer Science,100,1,3.095238095238096,20,1,GS,0.0011780531,Low
22/SEN/001,Software Engineering,300,1,3.411764705882353,17,0,GS,0.0017083698,Low
22/SEN/002,Software Engineering,300,1,3.823529411764706,17,0,GS,0.0017083698,Low
22/SEN/004,Software Engineering,300,1,4.157894736842105,19,0,GS,0.00075166585,Low
22/CSC/001,Computer Science,300,1,3.533333333333333,15,0,GS,0.0019209372,Low
22/CSC/002,Computer Science,300,1,1.8235294117647056,14,3,GS,0.48729035,Medium
22/CSC/003,Computer Science,300,1,2.8823529411764706,17,0,GS,0.0008500876,Low
22/CSC/004,Computer Science,300,1,4.066666666666666,15,0,GS,0.0019209372,Low
23/CSC/006,Computer Science,300,1,0.9,11,9,NGS,0.99733955,High
22/CSC/007,Computer Science,300,1,4.866666666666666,15,0,GS,0.0019209372,Low
22/CSC/009,Computer Science,300,1,3.294117647058824,17,0,GS,0.0008500876,Low
22/CSC/010,Computer Science,300,1,3.1,20,0,GS,0.0005776935,Low
23/CSC/001,Computer Science,200,1,3.2,20,0,GS,0.0005776935,Low
23/CSC/002,Computer Science,200,1,2.5454545454545454,19,3,GS,0.00052481866,Low
23/CSC/003,Computer Science,200,1,4.25,20,0,GS,0.0005776935,Low
23/CSC/004,Computer Science,200,1,3.4,19,1,GS,0.002530099,Low
23/CSC/005,Computer Science,200,1,4.2,20,0,GS,0.0005776935,Low
23/CSC/007,Computer Science,200,1,4.45,20,0,GS,0.0005776935,Low
23/CSC/009,Computer Science,200,1,4.85,20,0,GS,0.0005776935,Low
24/CSC/002,Computer Science,200,1,4.25,20,0,GS,0.0005776935,Low
24/CSC/016,Computer Science,200,1,3.333333333333333,21,3,GS,0.00041413566,Low
24/CSC/017,Computer Science,200,1,3.583333333333333,22,2,GS,0.0014272097,Low
24/CSC/001,Computer Science,100,1,1.181818181818182,13,9,GS,0.6506811,High
24/CSC/004,Computer Science,100,1,3.227272727272727,21,1,GS,0.0011780531,Low
24/CSC/005,Computer Science,100,1,1.181818181818182,10,12,GS,0.926173,High
24/CSC/006,Computer Science,100,1,4.7727272727272725,22,0,GS,0.00034052916,Low
24/CSC/007,Computer Science,100,1,2.5454545454545454,17,5,GS,0.0010993697,Low
24/CSC/008,Computer Science,100,1,3.409090909090909,22,0,GS,0.00034052916,Low
24/CSC/009,Computer Science,100,1,4.545454545454546,22,0,GS,0.00034052916,Low
24/CSC/010,Computer Science,100,1,3.227272727272727,22,0,GS,0.00034052916,Low
24/CSC/011,Computer Science,100,1,3.6818181818181817,22,0,GS,0.00034052916,Low
24/CSC/012,Computer Science,100,1,3.954545454545455,22,0,GS,0.00034052916,Low
24/CSC/013,Computer Science,100,1,4.136363636363637,22,0,GS,0.00034052916,Low
24/CSC/014,Computer Science,100,1,4.727272727272728,22,0,GS,0.00034052916,Low
24/CSC/015,Computer Science,100,1,3.5454545454545454,22,0,GS,0.00034052916,Low
24/CSC/018,Computer Science,100,1,2.9545454545454546,19,3,GS,0.0002936051,Low
24/CSC/019,Computer Science,100,1,4.318181818181818,22,0,GS,0.00034052916,Low
24/CSC/021,Computer Science,100,1,2.4545454545454546,19,3,GS,0.0002936051,Low
24/CSC/022,Computer Science,100,1,2.5454545454545454,19,3,GS,0.0002936051,Low
24/CSC/023,Computer Science,100,1,1.8636363636363635,22,0,GS,0.10579119,Low
24/CSC/024,Computer Science,100,1,4.7727272727272725,22,0,GS,0.00034052916,Low
24/CSC/025,Computer Science,100,1,4.090909090909091,22,0,GS,0.00034052916,Low
24/CSC/026,Computer Science,100,1,4.363636363636363,22,0,GS,0.00034052916,Low
24/CSC/027,Computer Science,100,1,3.363636363636364,19,3,GS,0.0002936051,Low
24/CSC/028,Computer Science,100,1,4.2727272727272725,22,0,GS,0.00034052916,Low
24/CSC/029,Computer Science,100,1,3.0,22,0,GS,0.00034052916,Low
24/CSC/031,Computer Science,100,1,4.090909090909091,22,0,GS,0.00034052916,Low
24/CSC/032,Computer Science,100,1,3.6818181818181817,21,1,GS,0.0011780531,Low
24/CSC/033,Computer Science,100,1,3.954545454545455,22,0,GS,0.00034052916,Low
24/CSC/034,Computer Science,100,1,3.272727272727273,22,0,GS,0.00034052916,Low
24/CSC/035,Computer Science,100,1,3.272727272727273,20,2,GS,0.0007987573,Low
24/CSC/036,Computer Science,100,1,3.363636363636364,22,0,GS,0.00034052916,Low
24/CSC/037,Computer Science,100,1,4.454545454545454,22,0,GS,0.00034052916,Low
24/PRE-D/CSC/041,Computer Science,100,1,4.227272727272728,22,0,GS,0.00034052916,Low
24/PRE-D/CSC/039,Computer Science,100,1,3.863636363636364,22,0,GS,0.00034052916,Low
24/PRE-D/CSC/040,Computer Science,100,1,2.090909090909091,14,8,GS,0.0020679454,Low
23/SEN/001,Software Engineering,200,1,4.823529411764706,17,0,GS,0.0017083698,Low
24/SEN/002,Software Engineering,200,1,2.9,20,0,GS,0.00089466636,Low
23/CSC/001,Computer Science,200,2,2.8947368421052637,19,0,GS,0.0022357702,Low
23/CSC/002,Computer Science,200,2,2.5789473684210527,19,0,GS,0.0022357702,Low
23/CSC/003,Computer Science,200,2,4.684210526315789,19,0,GS,0.0022357702,Low
23/CSC/004,Computer Science,200,2,2.421052631578948,15,4,GS,0.010475692,Low
23/CSC/005,Computer Science,200,2,4.315789473684211,19,0,GS,0.0022357702,Low
23/CSC/007,Computer Science,200,2,4.7368421052631575,19,0,GS,0.0022357702,Low
23/CSC/009,Computer Science,200,2,5.0,19,0,GS,0.0022357702,Low
24/CSC/002,Computer Science,200,2,4.105263157894737,19,0,GS,0.0022357702,Low
24/CSC/016,Computer Science,200,2,4.157894736842105,19,0,GS,0.0022357702,Low
24/CSC/017,Computer Science,200,2,4.368421052631579,19,0,GS,0.0022357702,Low
24/CSC/020,Computer Science,200,2,3.3157894736842106,19,0,GS,0.0022357702,Low
22/CYB/001,Cybersecurity,300,1,3.411764705882353,17,0,GS,0.0012208604,Low
22/CYB/002,Cybersecurity,300,1,4.470588235294118,17,0,GS,0.0012208604,Low
23/CYB/001,Cybersecurity,200,1,4.0,19,0,GS,0.00073101243,Low
23/CYB/002,Cybersecurity,200,1,3.684210526315789,19,0,GS,0.00073101243,Low
23/CYB/003,Cybersecurity,200,1,0.8421052631578947,12,7,NGS,0.9975485,High
23/CYB/004,Cybersecurity,200,1,3.8947368421052633,19,0,GS,0.00073101243,Low
24/CYB/007,Cybersecurity,200,1,2.3684210526315788,13,6,GS,0.0016610057,Low
22/CSC/005,Computer Science,400,1,4.5,20,0,GS,0.0005776935,Low
22/CSC/006,Computer Science,400,1,4.5,20,0,GS,0.0005776935,Low
22/CSC/008,Computer Science,400,1,5.0,20,0,GS,0.0005776935,Low
